sample_id,sample_site_name,sample_site_code,grab_compo_ind,timestamp_sample_collected,timestamp_sample_received,sample_ph_pre_ansis,conductivity_ms_cm,ammonia_mg_l,ophosph_mg_l,Turbidity,AM_CrAss_gc_l,PEG_CrAss_gc_l,SN_CrAss_gc_l,AM_phi6_Rec%,AM_phi6_Rec%_rerun,PEG_phi6_Rec%,PEG_phi6_Rec%_rerun,AM_N1_SARS_gc_l,PEG_N1_SARS_gc_l,AM_FluA_gc_l,PEG_FluA_gc_l,AM_EV_gc_l,PEG_EV_gc_l,AM_EVD68_gc_l,PEG_EVD68_gc_l,AM_NoVGI_gc_l,PEG_NoVGI_gc_l,AM_NoVGII_gc_l,PEG_NoVGII_gc_l,AM_MeV_gc_l,PEG_MeV_gc_l,AM_RoV_gc_l,PEG_RoV_gc_l,AM_RSVA_gc_l,PEG_RSVA_gc_l,AM_RSVB_gc_l,PEG_RSVB_gc_l
18016,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.53,1186,32.61,1.97,111,6.71E+08,1.04E+09,2.15E+09,0.04,,0.00,0.00,43471,33189,0,0,0,33490,0,0,16426.422,19616.47067,574.582,NA,0,0,0,342212.9333,0.000,0,0,0
18017,LONDON (Mogden STW),UKENTH_TWU_TP000113,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.84,710.6,45.66,3.27,25.9,3.61E+08,1.64E+08,4.19E+08,0.05,,0.01,0.01,33957,64471,0,0,0,47929,0,0,62333.400,104075.6,421.46182,NA,0,0,0,0,0.000,detected,0,0
18018,BARNOLDSWICK STW,UKENNW_UU_TP000011,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.46,1071,56.55,3.32,20.5,1.56E+08,3.60E+08,5.15E+09,0.12,,0.03,,119940,23937,0,0,62005,12626,0,0,0.000,0,199.26869,NA,0,0,0,0,detected,detected,0,0
18019,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.32,3188,37.75,2.54,55.6,3.17E+08,1.16E+09,1.39E+10,0.01,,0.00,,29371,5035,0,0,0,3182,0,371,128758.393,43046.95667,373.5818,NA,0,0,0,0,0.000,detected,0,0
18020,Hartlepool Seaton Carew TW,NW-HTW,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.71,1091,57.84,3.75,51.4,6.91E+08,8.69E+08,1.04E+10,0.06,,0.00,0.00,26247,12440,0,0,204991,54930,0,83,58580.867,21095.39,364.18292,NA,0,0,0,0,0.000,detected,0,0
18021,LONDON (Becton STW),UKENTH_TWU_TP000014,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.46,904.3,69.85,5.36,72.5,2.44E+08,1.45E+09,1.45E+10,0.04,,0.00,,41011,19633,0,0,11990,25208,0,0,74573.440,29650.06533,552.9918,NA,0,0,0,0,0.000,0,0,0
18022,Fleetwood and Blackpool (Fleetwood Marsh) STW,UKENNW_UU_TP000050,Composite,NA,2021-11-20T00:00:00Z,7.78,457.1,5.23,1.36,36.9,1.53E+08,9.96E+07,4.86E+09,0.09,,0.01,0.01,67584,27071,0,0,292797,172862,0,0,139195.507,68571.12,536.831,NA,0,0,0,0,0.000,detected,0,0
18023,LANCASTER (STODDAY) STW,UKENNW_UU_TP000076,Composite,2021-11-19T00:00:00Z,2021-11-20T00:00:00Z,7.49,993.7,52.53,4.53,27.4,1.45E+08,2.07E+09,8.04E+09,0.07,,0.02,0.03,14020,11182,0,0,0,1793,0,0,0.000,693.8875333,169.77667,NA,0,0,0,0,0.000,detected,0,0
18060,CRAMLINGTON STW,UKENNE_NU_TP000020,Composite,2021-11-21T00:00:00Z,2021-11-22T12:00:00Z,7.82,1236,42.71,3.34,109,2.83E+08,1.37E+09,9.23E+09,NA,,2.32,,289295,187064,0,0,6471,0,2348,0,112911.480,173011.0267,349.32846,3278.0752,0,0,0,0,detected,detected,0,0
18061,PORTSMOUTH AND HAVANT,UKENSO_SW_TP000004,Composite,2021-11-21T09:25:00Z,2021-11-22T12:00:00Z,7.38,2038,44.22,4.6,71.5,3.88E+08,1.18E+09,1.16E+10,NA,,0.49,,126369,121526,0,0,0,9947,5195,4654,0.000,11672.17,382.4593,826.3796,0,0,0,0,0.000,detected,0,0
18062,NEWCASTLE  (Howdon) STW,UKENNE_NU_TP000031,Composite,2021-11-21T00:00:00Z,2021-11-22T12:00:00Z,7.91,8384,55.29,3.83,157,1.49E+08,1.28E+09,8.76E+09,NA,,1.51,,296936,133172,0,0,0,36986,8568,15900,20771.942,40223.55667,363.81097,3756.226,0,0,0,0,0.000,detected,0,0
18063,Hartlepool Seaton Carew TW,NW-HTW,Grab,2021-11-21T10:30:00Z,2021-11-22T12:00:00Z,7.77,1181,41.81,3.17,87.1,3.72E+08,1.98E+09,1.46E+10,NA,,0.21,,64319,79129,0,0,0,0,3825,0,0.000,19936.498,257.09216,1174.8242,0,0,0,0,0.000,0,0,0
18064,LONDON (Becton STW),UKENTH_TWU_TP000014,Grab,2021-11-21T09:00:00Z,2021-11-22T12:00:00Z,7.6,1177,36.66,2.97,121,1.16E+09,1.59E+07,3.49E+08,NA,,0.00,,667076,10256,0,0,0,21675,0,6789,30597.993,32284.98333,285.0622,3257.2117,0,0,0,0,detected,detected,0,0
18065,LONDON (Mogden STW),UKENTH_TWU_TP000113,Grab,2021-11-21T00:00:00Z,2021-11-22T12:00:00Z,7.76,1969,45.77,1.99,194,3.00E+08,3.84E+07,3.02E+08,NA,,0.00,,2282,39678,0,0,0,69109,13052,28882,46865.597,5132.1818,444.38458,379.84436,0,0,0,0,detected,detected,0,0
